chart_date,chart_year,rank,title,artist,movement,weekly_sales,total_sales,source_year
1968-01-04,1968,1,ラブユー東京,黒沢明とロス・プリモス,,,,1968
1968-01-04,1968,2,世界は二人のために,佐良直美,,,,1968
1968-01-04,1968,3,オーケー,ディブ・ディー・グループ,,,,1968
1968-01-04,1968,4,モンキーズのテーマ,モンキーズ,,,,1968
1968-01-04,1968,5,命かれても,森進一,,,,1968
1968-01-04,1968,6,いつまでも・どこまでも,ザ・スパイダース,,,,1968
1968-01-04,1968,7,北国の二人,ジャッキー吉川とブルーコメッツ,,,,1968
1968-01-04,1968,8,花のサンフランシスコ,スコット・マッケンジー,,,,1968
1968-01-04,1968,9,愛のこころ,布施明,,,,1968
1968-01-04,1968,10,虹色の湖,中村晃子,,,,1968
1968-01-04,1968,11,サマーワイン,ナンシー・シナトラとリー・ヘイゼルウッド,,,,1968
1968-01-04,1968,12,レッツゴー運命,寺内タケシとバニーズ,,,,1968
1968-01-04,1968,13,佐久の鯉太郎,橋幸夫,,,,1968
1968-01-04,1968,14,ブルーシャトウ,ジャッキー吉川とブルーコメッツ,,,,1968
1968-01-04,1968,15,君だけに愛を,ザ・タイガース,,,,1968
1968-01-04,1968,16,太陽野郎,寺内タケシとバニーズ,,,,1968
1968-01-04,1968,17,恋の合言葉,モンキーズ,,,,1968
1968-01-04,1968,18,モナリザの微笑,ザ・タイガース,,,,1968
1968-01-04,1968,19,あの人の足音,伊東ゆかり,,,,1968
1968-01-04,1968,20,北国の青い空,奥村チヨ,,,,1968
1968-01-18,1968,1,ラブユー東京,黒沢明とロス・プリモス,←,,,1968
1968-01-18,1968,2,君だけに愛を,ザ・タイガース,↑,,,1968
1968-01-18,1968,3,帰ってきたヨッパライ,ザ・フォーク・クルセダーズ,↑,,,1968
1968-01-18,1968,4,世界は二人のために,佐良直美,↓,,,1968
1968-01-18,1968,5,モンキーズのテーマ,モンキーズ,↓,,,1968
1968-01-18,1968,6,命かれても,森進一,↓,,,1968
1968-01-18,1968,7,虹色の湖,中村晃子,↑,,,1968
1968-01-18,1968,8,乙女の祈り,黛ジュン,↑,,,1968
1968-01-18,1968,9,いつまでも・どこまでも,ザ・スパイダース,↓,,,1968
1968-01-18,1968,10,北国の二人,ジャッキー吉川とブルーコメッツ,↓,,,1968
1968-01-18,1968,11,愛のこころ,布施明,↓,,,1968
1968-01-18,1968,12,オーケー,ディブ・ディー・グループ,↓,,,1968
1968-01-18,1968,13,むらさきの夜明け,美空ひばり,↑,,,1968
1968-01-18,1968,14,盛り場ブルース,森進一,↑,,,1968
1968-01-18,1968,15,レッツゴー運命,寺内タケシとバニーズ,↓,,,1968
1968-01-18,1968,16,ハロー・グッドバイ,ザ・ビートルズ,↑,,,1968
1968-01-18,1968,17,サマーワイン,ナンシー・シナトラとリー・ヘイゼルウッド,↓,,,1968
1968-01-18,1968,18,北国の青い空,奥村チヨ,↑,,,1968
1968-01-18,1968,19,幻のアマリリア,加山雄三,初,,,1968
1968-01-18,1968,20,涙のかわくまで,西田佐知子,↑,,,1968
1968-01-25,1968,1,帰ってきたヨッパライ,ザ・フォーク・クルセダーズ,↑,,,1968
1968-01-25,1968,2,ラブユー東京,黒沢明とロス・プリモス,↓,,,1968
1968-01-25,1968,3,君だけに愛を,ザ・タイガース,↓,,,1968
1968-01-25,1968,4,いつまでも・どこまでも,ザ・スパイダース,↑,,,1968
1968-01-25,1968,5,世界は二人のために,佐良直美,↓,,,1968
1968-01-25,1968,6,乙女の祈り,黛ジュン,↑,,,1968
1968-01-25,1968,7,虹色の湖,中村晃子,←,,,1968
1968-01-25,1968,8,幻のアマリリア,加山雄三,↑,,,1968
1968-01-25,1968,9,モンキーズのテーマ,モンキーズ,↓,,,1968
1968-01-25,1968,10,命かれても,森進一,↓,,,1968
1968-01-25,1968,11,むらさきの夜明け,美空ひばり,↑,,,1968
1968-01-25,1968,12,盛り場ブルース,森進一,↑,,,1968
1968-01-25,1968,13,オーケー,ディブ・ディー・グループ,↓,,,1968
1968-01-25,1968,14,好きだから,ヴィレッジ・シンガーズ,↑,,,1968
1968-01-25,1968,15,ハロー・グッドバイ,ザ・ビートルズ,↑,,,1968
1968-01-25,1968,16,愛のこころ,布施明,↓,,,1968
1968-01-25,1968,17,くちなしのバラード,舟木一夫,↑,,,1968
1968-01-25,1968,18,涙のかわくまで,西田佐知子,↑,,,1968
1968-01-25,1968,19,思い出のカテリーナ,橋幸夫,↑,,,1968
1968-01-25,1968,20,北国の二人,ジャッキー吉川とブルーコメッツ,↓,,,1968
1968-02-01,1968,1,帰ってきたヨッパライ,ザ・フォーク・クルセダーズ,←,,,1968
1968-02-01,1968,2,ラブユー東京,黒沢明とロス・プリモス,←,,,1968
1968-02-01,1968,3,君だけに愛を,ザ・タイガース,←,,,1968
1968-02-01,1968,4,乙女の祈り,黛ジュン,↑,,,1968
1968-02-01,1968,5,虹色の湖,中村晃子,↑,,,1968
1968-02-01,1968,6,命かれても,森進一,↑,,,1968
1968-02-01,1968,7,世界は二人のために,佐良直美,↓,,,1968
1968-02-01,1968,8,むらさきの夜明け,美空ひばり,↑,,,1968
1968-02-01,1968,9,幻のアマリリア,加山雄三,↓,,,1968
1968-02-01,1968,10,モンキーズのテーマ,モンキーズ,↓,,,1968
1968-02-01,1968,11,マサチューセッツ,ビージーズ,↑,,,1968
1968-02-01,1968,12,盛り場ブルース,森進一,←,,,1968
1968-02-01,1968,13,思い出のカテリーナ,橋幸夫,↑,,,1968
1968-02-01,1968,14,いつまでも・どこまでも,ザ・スパイダース,↓,,,1968
1968-02-01,1968,15,くちなしのバラード,舟木一夫,↑,,,1968
1968-02-01,1968,16,オーケー,ディブ・ディー・グループ,↓,,,1968
1968-02-01,1968,17,デイドリーム,モンキーズ,↑,,,1968
1968-02-01,1968,18,雨の銀座,黒沢明とロス・プリモス,↑,,,1968
1968-02-01,1968,19,涙のかわくまで,西田佐知子,↓,,,1968
1968-02-01,1968,20,ハロー・グッドバイ,ザ・ビートルズ,↓,,,1968
1968-02-08,1968,1,帰ってきたヨッパライ,ザ・フォーク・クルセダーズ,←,,,1968
1968-02-08,1968,2,君だけに愛を,ザ・タイガース,↑,,,1968
1968-02-08,1968,3,乙女の祈り,黛ジュン,↑,,,1968
1968-02-08,1968,4,ラブユー東京,黒沢明とロス・プリモス,↓,,,1968
1968-02-08,1968,5,虹色の湖,中村晃子,←,,,1968
1968-02-08,1968,6,むらさきの夜明け,美空ひばり,↑,,,1968
1968-02-08,1968,7,マサチューセッツ,ビージーズ,↑,,,1968
1968-02-08,1968,8,幻のアマリリア,加山雄三,↑,,,1968
1968-02-08,1968,9,モンキーズのテーマ,モンキーズ,↑,,,1968
1968-02-08,1968,10,命かれても,森進一,↓,,,1968
1968-02-08,1968,11,愛するアニタ,ザ・ワイルド・ワンズ,↑,,,1968
1968-02-08,1968,12,雨の銀座,黒沢明とロス・プリモス,↑,,,1968
1968-02-08,1968,13,盛り場ブルース,森進一,↓,,,1968
1968-02-08,1968,14,世界は二人のために,佐良直美,↓,,,1968
1968-02-08,1968,15,ハロー・グッドバイ,ザ・ビートルズ,↑,,,1968
1968-02-08,1968,16,涙のかわくまで,西田佐知子,↑,,,1968
1968-02-08,1968,17,オーケー,ディブ・ディー・グループ,↓,,,1968
1968-02-08,1968,18,くちなしのバラード,舟木一夫,↓,,,1968
1968-02-08,1968,19,デイドリーム,モンキーズ,↓,,,1968
1968-02-08,1968,20,恋のしずく,伊東ゆかり,↑,,,1968
1968-02-15,1968,1,帰ってきたヨッパライ,ザ・フォーク・クルセダーズ,←,,,1968
1968-02-15,1968,2,乙女の祈り,黛ジュン,↑,,,1968
1968-02-15,1968,3,虹色の湖,中村晃子,↑,,,1968
1968-02-15,1968,4,君だけに愛を,ザ・タイガース,↓,,,1968
1968-02-15,1968,5,ケメ子の唄,ザ・ダーツ,↑,,,1968
1968-02-15,1968,6,ラブユー東京,黒沢明とロス・プリモス,↓,,,1968
1968-02-15,1968,7,マサチューセッツ,ビージーズ,←,,,1968
1968-02-15,1968,8,こころの虹,ジャッキー吉川とブルーコメッツ,↑,,,1968
1968-02-15,1968,9,むらさきの夜明け,美空ひばり,↓,,,1968
1968-02-15,1968,10,命かれても,森進一,←,,,1968
1968-02-15,1968,11,雨の銀座,黒沢明とロス・プリモス,↑,,,1968
1968-02-15,1968,12,恋のしずく,伊東ゆかり,↑,,,1968
1968-02-15,1968,13,盛り場ブルース,森進一,←,,,1968
1968-02-15,1968,14,デイドリーム,モンキーズ,↓,,,1968
1968-02-15,1968,15,幻のアマリリア,加山雄三,↓,,,1968
1968-02-15,1968,16,月のしずく,西郷輝彦,↑,,,1968
1968-02-15,1968,17,モンキーズのテーマ,モンキーズ,↓,,,1968
1968-02-15,1968,18,愛するアニタ,ザ・ワイルド・ワンズ,↓,,,1968
1968-02-15,1968,19,涙のかわくまで,西田佐知子,↓,,,1968
1968-02-15,1968,20,ケメ子の唄,ザ・ジャイアンツ,↑,,,1968
1968-02-22,1968,1,帰ってきたヨッパライ,ザ・フォーク・クルセダーズ,←,,,1968
1968-02-22,1968,2,ケメ子の唄,ザ・ダーツ,↑,,,1968
1968-02-22,1968,3,恋のしずく,伊東ゆかり,↑,,,1968
1968-02-22,1968,4,君だけに愛を,ザ・タイガース,←,,,1968
1968-02-22,1968,5,こころの虹,ジャッキー吉川とブルーコメッツ,↑,,,1968
1968-02-22,1968,6,虹色の湖,中村晃子,↓,,,1968
1968-02-22,1968,7,マサチューセッツ,ビージーズ,←,,,1968
1968-02-22,1968,8,乙女の祈り,黛ジュン,↓,,,1968
1968-02-22,1968,9,命かれても,森進一,↑,,,1968
1968-02-22,1968,10,雨の銀座,黒沢明とロス・プリモス,↑,,,1968
1968-02-22,1968,11,ケメ子の唄,ザ・ジャイアンツ,↑,,,1968
1968-02-22,1968,12,幻のアマリリア,加山雄三,↑,,,1968
1968-02-22,1968,13,ラブユー東京,黒沢明とロス・プリモス,↓,,,1968
1968-02-22,1968,14,盛り場ブルース,森進一,↓,,,1968
1968-02-22,1968,15,月のしずく,西郷輝彦,↑,,,1968
1968-02-22,1968,16,モンキーズのテーマ,モンキーズ,↑,,,1968
1968-02-22,1968,17,むらさきの夜明け,美空ひばり,↓,,,1968
1968-02-22,1968,18,愛するアニタ,ザ・ワイルド・ワンズ,←,,,1968
1968-02-22,1968,19,涙のかわくまで,西田佐知子,←,,,1968
1968-02-22,1968,20,ハロー・グッドバイ,ザ・ビートルズ,↑,,,1968
1968-02-26,1968,1,恋のしずく,伊東ゆかり,↑,,,1968
1968-02-26,1968,2,帰ってきたヨッパライ,ザ・フォーク・クルセダーズ,↓,,,1968
1968-02-26,1968,3,ケメ子の唄,ザ・ダーツ,↓,,,1968
1968-02-26,1968,4,マサチューセッツ,ビージーズ,↑,,,1968
1968-02-26,1968,5,こころの虹,ジャッキー吉川とブルーコメッツ,←,,,1968
1968-02-26,1968,6,ケメ子の唄,ザ・ジャイアンツ,↑,,,1968
1968-02-26,1968,7,君だけに愛を,ザ・タイガース,↓,,,1968
1968-02-26,1968,8,乙女の祈り,黛ジュン,←,,,1968
1968-02-26,1968,9,虹色の湖,中村晃子,↓,,,1968
1968-02-26,1968,10,命かれても,森進一,↓,,,1968
1968-02-26,1968,11,涙のかわくまで,西田佐知子,↑,,,1968
1968-02-26,1968,12,雨の銀座,黒沢明とロス・プリモス,↓,,,1968
1968-02-26,1968,13,幻のアマリリア,加山雄三,↓,,,1968
1968-02-26,1968,14,月のしずく,西郷輝彦,↑,,,1968
1968-02-26,1968,15,盛り場ブルース,森進一,↓,,,1968
